stock,quarter,sales,operatingProfit,netIncome,operatingMargin,netProfitMargin,PER,PBR,ROE
태원물산,18년 9월,50,-1,0,-2.94,-0.32,"-2,097.82",1,0
태원물산,18년 12월,55,2,2,4.19,3.90,184.16,1.19,0.01
태원물산,19년 3월,58,-3,-1,-4.47,-1.48,-485.55,1.27,0
태원물산,19년 6월,61,3,3,4.45,5.53,106,1.07,0.01
태원물산,19년 9월,44,-2,-1,-5.18,-1.79,-430.20,1.04,0
태원물산,19년 12월,56,3,4,4.77,6.61,83.16,0.92,0.01
태원물산,20년 3월,45,-4,-3,-8.79,-6.04,-89.45,0.75,-0.01
태원물산,20년 6월,39,0,2,0.67,4.10,162.51,0.79,0.01
태평양물산,09년 9월,969,71,66,7.34,6.78,3.34,0.25,0.10
태평양물산,09년 12월,472,-7,-12,-1.46,-2.60,-19.12,0.28,-0.02
태평양물산,10년 3월,419,7,11,1.60,2.55,23.16,0.30,0.02
태평양물산,10년 6월,678,8,-45,1.17,-6.71,-6.55,0.38,-0.07
태평양물산,10년 9월,1287,52,61,4.05,4.71,5.64,0.40,0.09
태평양물산,10년 12월,669,-46,-45,-6.89,-6.77,-7.69,0.26,-0.05
태평양물산,11년 3월,787,11,13,1.42,1.66,25.43,0.25,0.01
태평양물산,11년 6월,1167,36,27,3.09,2.35,12.87,0.26,0.03
태평양물산,11년 9월,1634,104,-0.03,6.34,0,"-11,057.79",0.26,0
태평양물산,11년 12월,-,-,-,-,-,-,0.33,-
태평양물산,12년 3월,884,-19,-23,-2.18,-2.61,-24.14,-,-
태평양물산,12년 6월,1753,43,-19,2.46,-1.29,-30.68,-,-
태평양물산,12년 9월,2141,112,102,5.22,4.62,5.77,-,-
태평양물산,12년 12월,1155,-55,-46,-4.74,-3.96,-14.92,0.46,-
태평양물산,13년 3월,1390,-21,-99,-1.49,-6.88,-8.97,0.84,-0.09
태평양물산,13년 6월,2427,141,35,5.82,1.40,31.80,1,0.04
태평양물산,13년 9월,2854,125,153,4.40,5.45,6.21,0.75,0.14
태평양물산,13년 12월,1513,-27,-66,-1.80,-4.07,-14.12,0.59,-0.05
태평양물산,15년 9월,3093,250,35,8.09,1.17,51.28,1.06,0.02
태평양물산,15년 12월,1737,-89,-93,-5.14,-5.32,-17.22,0.98,-0.06
태평양물산,16년 3월,1828,-35,-26,-1.94,-1.31,-75.98,1.24,-0.02
태평양물산,16년 6월,2077,-120,-152,-5.77,-7.31,-10.34,1.10,-0.11
태평양물산,16년 9월,2949,-298,-230,-10.10,-7.76,-5.80,1.16,-0.19
태평양물산,16년 12월,1793,-33,-129,-1.85,-7.16,-12.37,1.44,-0.12
태평양물산,17년 3월,1843,8,62,0.43,3.41,28.75,1.48,0.06
태평양물산,17년 6월,1940,19,-32,1,-1.63,-60.90,1.58,-0.03
태평양물산,17년 9월,3366,231,139,6.86,4.16,11.64,1.13,0.11
태평양물산,17년 12월,2072,-21,-72,-1.03,-3.47,-23.74,1.23,-0.05
태평양물산,18년 3월,1931,-9,-47,-0.49,-2.37,-33.99,1.22,-0.04
태평양물산,18년 6월,2139,34,6,1.61,0.26,231.83,0.98,0
태평양물산,18년 9월,3342,271,175,8.12,5.26,9.40,1,0.12
태평양물산,18년 12월,2308,29,-33,1.26,-1.38,-38.41,0.81,-0.02
태평양물산,19년 3월,1942,23,-14,1.18,-0.70,-89.40,0.81,-0.01
태평양물산,19년 6월,2296,96,21,4.19,0.92,73.16,0.96,0.01
태평양물산,19년 9월,3224,295,166,9.15,5.15,8.42,0.79,0.11
태평양물산,19년 12월,2254,18,-61,0.81,-2.72,-21.72,0.71,-0.04
태평양물산,20년 3월,1913,4,-126,0.23,-6.77,-5.43,0.39,-0.08
태평양물산,20년 6월,1577,-82,-29,-5.18,-2.12,-32.71,0.58,-0.02
테이팩스,17년 6월,272,37,28,13.66,10.46,-,0,-
테이팩스,17년 12월,-,-,-,-,-,-,1.71,-
테이팩스,18년 3월,264,21,15,7.99,5.54,88.68,1.45,0.02
테이팩스,18년 6월,259,18,12,6.86,4.76,99.17,1.35,0.01
테이팩스,18년 9월,283,22,11,7.69,3.97,119.34,1.46,0.01
테이팩스,18년 12월,280,15,13,5.26,4.60,77.25,1.07,0.01
테이팩스,19년 3월,270,15,11,5.64,4.22,74.41,0.90,0.01
테이팩스,19년 6월,269,22,16,8.22,6.09,62.70,1.07,0.02
테이팩스,19년 9월,302,23,17,7.49,5.65,65.81,1.15,0.02
테이팩스,19년 12월,284,23,31,8.01,11.05,33.03,1.03,0.03
테이팩스,20년 3월,270,25,21,9.30,7.62,31.93,0.64,0.02
테이팩스,20년 6월,279,35,49,12.39,17.55,21.38,0.97,0.05
테이팩스,20년 9월,318,50,44,15.61,13.91,34.28,1.35,0.04
텔코웨어,09년 9월,110,22,24,19.63,21.82,27.62,0.56,0.03
텔코웨어,09년 12월,189,8,7,4.09,3.84,105.34,0.63,0.01
텔코웨어,10년 3월,26,-39,-32,-148.87,-122.20,-23.60,0.67,-0.04
텔코웨어,10년 6월,199,47,49,23.50,24.50,14.64,0.58,0.06
텔코웨어,10년 9월,90,-5,1,-5.49,1.34,565.57,0.55,0
텔코웨어,10년 12월,176,14,14,8.01,7.95,56.23,0.62,0.02
텔코웨어,11년 3월,55,-31,-21,-56.90,-38.65,-35.26,0.62,-0.02
텔코웨어,11년 6월,194,58,56,30.06,28.95,13.08,0.55,0.07
텔코웨어,11년 9월,128,11,15,8.64,11.31,47.28,0.51,0.02
텔코웨어,11년 12월,-,-,-,-,-,-,0.51,-
텔코웨어,12년 3월,75,-10,-5,-13.19,-6.59,-153.41,-,-
텔코웨어,12년 6월,189,53,43,27.98,22.89,16.47,-,-
텔코웨어,12년 9월,158,21,15,13.35,9.54,52.69,-,-
텔코웨어,12년 12월,201,8,14,3.81,7.15,76.82,0.71,-
텔코웨어,13년 3월,98,6,8,6.32,8.03,114.41,0.59,0.01
텔코웨어,13년 6월,132,42,35,31.78,26.64,26.74,0.59,0.04
텔코웨어,13년 9월,170,42,37,24.43,22,24.07,0.55,0.04
텔코웨어,13년 12월,257,41,28,16.01,10.83,39.89,0.67,0.03
텔코웨어,15년 9월,153,38,32,24.64,21.06,44,0.78,0.03
텔코웨어,15년 12월,147,-1,-2,-0.55,-1.21,-766.97,0.76,0
텔코웨어,16년 3월,63,-18,-17,-28.53,-26.49,-77.86,0.76,-0.02
텔코웨어,16년 6월,111,10,9,8.75,7.98,133.08,0.68,0.01
