stock,quarter,sales,operatingProfit,netIncome,operatingMargin,netProfitMargin,PER,PBR,ROE
AJ네트웍스,15년 9월,2822,208,51,7.35,3.12,71.30,1.58,0.02
AJ네트웍스,15년 12월,2731,134,26,4.90,1.30,172.59,1.68,0.01
AJ네트웍스,16년 3월,2804,150,53,5.35,2.16,72.96,1.43,0.02
AJ네트웍스,16년 6월,3193,177,44,5.54,2.06,73.07,1.18,0.02
AJ네트웍스,16년 9월,3196,168,32,5.26,1.54,88.94,1.04,0.01
AJ네트웍스,16년 12월,3345,124,5,3.70,-0.14,624.68,1.09,0
AJ네트웍스,17년 3월,3515,218,51,6.21,1.96,50.90,0.94,0.02
AJ네트웍스,17년 6월,3378,200,36,5.91,1.51,96.62,1.24,0.01
AJ네트웍스,17년 9월,3714,208,53,5.61,2.24,66.12,1.22,0.02
AJ네트웍스,17년 12월,3703,146,9,3.94,0.10,358.24,1.13,0
AJ네트웍스,18년 3월,4038,140,61,3.46,2.47,54.45,1.15,0.02
AJ네트웍스,18년 6월,4018,117,-55,2.91,-1.18,-51.98,0.93,-0.02
AJ네트웍스,18년 9월,2691,93,16,3.46,1.82,181.84,0.93,0.01
AJ네트웍스,18년 12월,2744,-365,507,-13.32,15.89,4.16,0.62,0.16
AJ네트웍스,19년 3월,2775,70,1263,2.53,45.93,1.78,0.55,0.34
AJ네트웍스,19년 6월,2968,109,-299,3.66,-10.02,-8.43,0.67,-0.08
AJ네트웍스,19년 9월,3122,96,34,3.08,0.91,60.95,0.53,0.01
AJ네트웍스,19년 12월,3162,-97,-537,-3.05,-18.48,-4.33,0.73,-0.15
AJ네트웍스,20년 3월,3167,120,12,3.78,0.64,119.10,0.44,0
AJ네트웍스,20년 6월,3064,87,35,2.83,0.96,38.75,0.43,0.01
AK홀딩스,09년 9월,1500,103,62,6.89,4.15,17.35,0.45,0.03
AK홀딩스,09년 12월,-,-,-,-,-,-,0.46,-
AK홀딩스,10년 3월,1759,132,92,7.49,5.24,11.91,0.48,0.04
AK홀딩스,10년 6월,1951,128,201,6.56,10.28,7.53,0.61,0.09
AK홀딩스,10년 9월,1959,151,99,7.73,5.04,16.64,0.63,0.04
AK홀딩스,10년 12월,-,-,-,-,-,-,0.81,-
AK홀딩스,11년 3월,2029,178,132,8.78,6.51,15.76,0.83,0.05
AK홀딩스,11년 6월,2029,139,102,6.85,5.03,29.56,1.12,0.04
AK홀딩스,11년 9월,2234,96,59,4.29,2.65,31.15,0.67,0.02
AK홀딩스,11년 12월,-,-,-,-,-,-,1.05,-
AK홀딩스,12년 3월,1097,70,105,6.34,12.09,27.74,-,-
AK홀딩스,12년 6월,1007,67,120,6.62,13.62,20.81,-,-
AK홀딩스,12년 9월,1089,70,1490,6.40,138.84,1.21,-,-
AK홀딩스,12년 12월,1087,65,138,5.96,13.96,11.94,0.66,-
AK홀딩스,13년 3월,3831,185,394,4.83,11.80,6.13,0.59,0.10
AK홀딩스,13년 6월,5444,201,53,3.69,2.37,58.78,0.75,0.01
AK홀딩스,13년 9월,6654,388,150,5.83,3.67,31.49,1.11,0.04
AK홀딩스,13년 12월,6480,316,205,4.88,3.98,23.49,1.10,0.05
AK홀딩스,15년 9월,7037,65,-114,0.93,-1.02,-93.45,1.83,-0.02
AK홀딩스,15년 12월,6552,137,-567,2.09,-11.21,-14.78,1.45,-0.10
AK홀딩스,16년 3월,6745,544,238,8.06,5.82,31.24,1.25,0.04
AK홀딩스,16년 6월,7037,419,179,5.96,4.75,48.77,1.43,0.03
AK홀딩스,16년 9월,7561,725,238,9.59,6.07,33.57,1.26,0.04
AK홀딩스,16년 12월,7876,449,65,5.70,1.88,114.04,1.16,0.01
AK홀딩스,17년 3월,8207,667,236,8.13,5.29,33.27,1.21,0.04
AK홀딩스,17년 6월,7955,541,212,6.81,4.89,46.47,1.47,0.03
AK홀딩스,17년 9월,8656,888,451,10.26,8.90,19.04,1.20,0.07
AK홀딩스,17년 12월,9107,559,98,6.14,2.87,92.88,1.26,0.01
AK홀딩스,18년 3월,9166,975,380,10.64,7.70,25.43,1.22,0.05
AK홀딩스,18년 6월,8936,561,259,6.28,6.01,38.63,1.22,0.03
AK홀딩스,18년 9월,10213,800,323,7.84,6.08,25.10,0.95,0.04
AK홀딩스,18년 12월,8796,361,108,4.10,2.30,66.41,0.83,0.01
AK홀딩스,19년 3월,9968,974,373,9.77,7,18.06,0.77,0.04
AK홀딩스,19년 6월,8907,101,39,1.13,0.33,151.98,0.67,0
AK홀딩스,19년 9월,9728,269,1,2.77,0.30,"3,069.64",0.48,0
BGF,15년 9월,12062,544,429,4.51,3.64,116.33,7.46,0.07
BGF,15년 12월,11339,356,347,3.14,3.06,122.58,5.50,0.05
BGF,16년 3월,10923,277,291,2.54,2.75,139.57,5.27,0.04
BGF,16년 6월,12725,627,523,4.93,4.12,101.26,6.42,0.07
BGF,16년 9월,13722,712,570,5.19,4.15,84.01,5.43,0.07
BGF,16년 12월,13157,555,452,4.22,3.45,89.75,4.39,0.05
BGF,17년 3월,12156,396,321,3.26,2.64,161.89,5.68,0.03
BGF,17년 6월,14130,741,610,5.24,4.33,82.03,5.12,0.06
BGF,17년 9월,276,29,933,10.57,339.45,45.40,-1.63,-0.11
BGF,17년 12월,419,34,33112,8.16,"7,909.82",0.18,0.69,-3.49
BGF,18년 3월,430,6,144,1.31,33.70,44.71,0.84,0.01
BGF,18년 6월,596,124,138,20.75,23.80,74.50,0.69,0.01
BGF,18년 9월,662,142,157,21.50,22.65,56.93,0.59,0.01
BGF,18년 12월,518,23,43,4.45,6.83,178.46,0.51,0
BGF,19년 3월,506,4,36,0.72,4,217.99,0.52,0
BGF,19년 6월,655,100,129,15.21,18.69,54.87,0.47,0.01
BGF,19년 9월,628,91,108,14.43,13.62,53.38,0.38,0.01
BGF,19년 12월,615,100,-3,16.27,-8.62,"-1,608.75",0.36,0
BGF,20년 3월,471,-23,-22,-4.97,-8.89,-156.85,0.24,0
BGF리테일,17년 9월,-,-,-,-,-,-,-,-
BGF리테일,17년 12월,9387,265,280,2.83,2.98,86,9.34,-
BGF리테일,18년 3월,13166,261,221,1.98,1.68,132.11,7.46,0.06
BGF리테일,18년 6월,14785,564,453,3.82,3.06,74.44,7.71,0.11
BGF리테일,18년 9월,15394,656,531,4.26,3.45,66.94,7.25,0.11
BGF리테일,18년 12월,14413,414,337,2.87,2.34,104.51,6.76,0.07
BGF리테일,19년 3월,13498,263,210,1.95,1.55,180.24,7.61,0.04
BGF리테일,19년 6월,15165,610,459,4.02,3.03,79.37,6.73,0.09
BGF리테일,19년 9월,15827,648,502,4.10,3.17,67.86,5.75,0.09
BGF리테일,19년 12월,14970,445,343,2.97,2.29,85.41,4.70,0.06
BGF리테일,20년 3월,13931,185,120,1.33,0.86,190.01,3.88,0.02
BGF리테일,20년 6월,15492,446,330,2.88,2.13,72.71,3.87,0.05
BNK금융지주,11년 3월,6536,1685,1285,25.78,19.65,13.56,1.21,-
BNK금융지주,11년 6월,6343,1282,974,20.21,15.35,30.98,1.11,0.04
BNK금융지주,11년 9월,10228,1283,952,12.55,9.31,27.60,0.92,0.03
BNK금융지주,11년 12월,7543,1113,793,14.75,10.51,27.85,0.75,0.03
BNK금융지주,12년 3월,8504,1482,1097,17.43,12.89,24.23,0.89,0.04
BNK금융지주,12년 6월,8785,1171,864,13.33,9.83,29.27,0.82,0.03
BNK금융지주,12년 9월,5153,1494,1131,29,21.94,21.21,0.75,0.04
BNK금융지주,12년 12월,8177,788,568,9.64,6.95,46.43,0.81,0.02
BNK금융지주,13년 3월,8104,1270,944,15.68,11.64,32.40,0.93,0.03
BNK금융지주,13년 6월,8216,1236,928,15.04,11.30,31.11,0.85,0.03
BNK금융지주,13년 9월,7799,1346,970,17.26,12.43,33.08,0.92,0.03
BNK금융지주,13년 12월,7509,275,204,3.66,2.85,156.61,0.91,0.01
BNK금융지주,15년 9월,10837,2098,1481,19.36,14.03,24.16,0.61,0.03
BNK금융지주,15년 12월,17991,439,180,2.44,1.22,126.93,0.39,0
BNK금융지주,16년 3월,9792,2157,1590,22.03,16.66,18.97,0.49,0.03
BNK금융지주,16년 6월,10238,2052,1524,20.04,15.30,17.26,0.40,0.02
BNK금융지주,16년 9월,9939,2023,1456,20.36,15.07,19.20,0.41,0.02
BNK금융지주,16년 12월,19158,890,445,4.64,2.54,63.53,0.42,0.01
BNK금융지주,17년 3월,9994,2291,1683,22.92,17.26,17.78,0.44,0.02
BNK금융지주,17년 6월,10483,2226,1624,21.23,15.90,21.98,0.51,0.02
BNK금융지주,17년 9월,10015,2192,1556,21.89,16.11,20.95,0.45,0.02
BNK금융지주,17년 12월,17805,-765,-832,-4.30,-4.24,-36.89,0.44,-0.01
BNK금융지주,18년 3월,11307,2840,2073,25.12,19,16.36,0.46,0.03
BNK금융지주,18년 6월,11176,2215,1503,19.82,14.20,20.27,0.41,0.02
BNK금융지주,18년 9월,11512,2686,1818,23.34,16.65,15.42,0.37,0.02
BNK금융지주,18년 12월,16598,-243,-373,-1.46,-1.63,-64.13,0.31,0
BNK금융지주,19년 3월,11772,2478,1771,21.05,15.89,12.29,0.28,0.02
BNK금융지주,19년 6월,11989,2469,1741,20.59,15.40,14.02,0.31,0.02
BNK금융지주,19년 9월,11845,2441,1780,20.61,15.94,13.17,0.28,0.02
BNK금융지주,19년 12월,17189,681,330,3.96,2.24,75.67,0.30,0
BNK금융지주,20년 3월,11846,2060,1377,17.39,12.53,10.50,0.17,0.02
BNK금융지주,20년 6월,11742,2354,1732,20.04,15.67,9.41,0.19,0.02
BYC,09년 9월,456,56,43,12.38,9.35,24.74,0.42,0.02
BYC,09년 12월,-,-,-,-,-,-,0.40,-
BYC,10년 3월,400,69,54,17.18,13.53,22.57,0.46,0.02
BYC,10년 6월,534,79,56,14.85,10.49,21.75,0.45,0.02
BYC,10년 9월,525,77,56,14.63,10.64,20.45,0.41,0.02
BYC,10년 12월,-,-,-,-,-,-,0.47,-
BYC,11년 3월,400,64,41,16.09,10.29,32.14,0.47,0.01
BYC,11년 6월,653,109,92,16.64,14.07,14,0.43,0.03
BYC,11년 9월,384,49,43,12.86,11.30,28.45,0.41,0.01
BYC,11년 12월,-,-,-,-,-,-,0.42,-
BYC,12년 3월,496,99,49,20.03,9.92,30.64,-,-
BYC,12년 6월,531,89,94,16.72,17.71,14.97,-,-
BYC,12년 9월,520,72,47,13.90,8.97,32.32,-,-
BYC,12년 12월,623,74,57,11.83,9.10,27.25,0.46,-
BYC,13년 3월,406,48,30,11.80,7.20,59.06,0.52,0.01
BYC,13년 6월,418,62,42,14.92,9.97,38.25,0.46,0.01
BYC,13년 9월,447,13,-7,2.92,-1.73,-219.74,0.46,0
BYC,13년 12월,554,128,92,23.09,16.61,17.15,0.45,0.03
BYC,15년 9월,460,32,3,6.98,0.61,984.88,0.81,0
BYC,15년 12월,549,70,62,12.82,11.31,62.41,1.01,0.02
BYC,16년 3월,446,43,44,9.64,9.80,100.13,1.14,0.01
BYC,16년 6월,661,53,51,8.07,7.75,78.92,1.04,0.01
BYC,16년 9월,473,18,4,3.76,0.82,998.58,1,0
BYC,16년 12월,539,47,76,8.81,14.22,43.59,0.84,0.02
BYC,17년 3월,460,54,27,11.70,5.87,117.16,0.80,0.01
BYC,17년 6월,452,46,25,10.10,5.48,124.55,0.77,0.01
BYC,17년 9월,486,31,10,6.41,2.14,257.05,0.66,0
BYC,17년 12월,560,41,0,7.40,-0.05,"-14,794.52",0.64,0
BYC,18년 3월,498,35,64,6.98,12.85,37.81,0.59,0.02
BYC,18년 6월,490,55,57,11.27,11.68,36.32,0.51,0.01
BYC,18년 9월,477,58,29,12.10,6.02,79.22,0.55,0.01
BYC,18년 12월,514,66,-59,12.81,-11.50,-34.91,0.50,-0.01
BYC,19년 3월,392,51,25,13.07,6.28,84.59,0.50,0.01
BYC,19년 6월,404,62,62,15.30,15.38,31.92,0.47,0.02
BYC,19년 9월,418,61,123,14.70,29.48,16.36,0.47,0.03
BYC,19년 12월,491,59,68,12.08,13.81,29.28,0.45,0.02
BYC,20년 3월,334,23,1,6.77,0.24,"1,465.82",0.37,0
BYC,20년 6월,470,85,86,18.04,18.30,20.35,0.39,0.02
CJ,09년 9월,1092,991,953,90.71,87.28,18.20,0.76,0.05
CJ,09년 12월,-,-,-,-,-,-,0.86,-
CJ,10년 3월,-,-,-,-,-,-,-,-
CJ,10년 6월,1763,1598,1509,90.67,85.63,12.41,0.59,0.06
CJ,10년 9월,842,599,428,71.17,50.89,66.88,0.86,0.01
CJ,10년 12월,-,-,-,-,-,-,0.76,-
CJ,11년 3월,31393,1997,424,6.36,3.86,54.19,0.66,0.01
CJ,11년 6월,31507,2346,651,7.45,5.43,34.91,0.65,0.02
CJ,11년 9월,35284,2996,371,8.49,2.92,66.19,0.69,0.01
CJ,11년 12월,34526,1668,2245,4.83,9.88,10.72,0.71,0.07
CJ,12년 3월,41303,2438,232,5.90,3.04,114.58,0.78,0.01
CJ,12년 6월,43306,2809,342,6.49,2.03,72.98,0.72,0.01
CJ,12년 9월,46257,2899,1553,6.27,6.35,20.23,0.89,0.05
CJ,12년 12월,45419,2484,80,5.47,1.39,461.98,1.06,0
CJ,13년 3월,45145,2343,57,5.19,1.47,822.39,1.32,0
CJ,13년 6월,46197,1904,-10,4.12,0.86,"-3,448.06",0.98,0
CJ,13년 9월,48948,1744,1236,3.56,4.85,29.37,1.02,0.04
CJ,13년 12월,48228,1869,214,3.88,-0.43,170.49,1.02,0.01
CJ,15년 9월,55264,3641,582,6.59,2.82,142.43,2.08,0.02
CJ,15년 12월,55005,2183,90,3.97,0.21,879.91,1.98,0
CJ,16년 3월,56875,3523,761,6.19,3.80,80.68,1.53,0.02
CJ,16년 6월,58788,3288,666,5.59,3.18,95.27,1.56,0.02
CJ,16년 9월,61073,3812,1000,6.24,3.65,58.43,1.42,0.03
CJ,16년 12월,62806,1906,-197,3.03,-0.89,-298.71,1.42,-0.01
CJ,17년 3월,63497,3317,610,5.22,2.72,89.69,1.35,0.02
CJ,17년 6월,65050,2976,1967,4.58,7.72,30.28,1.38,0.05
CJ,17년 9월,70651,4319,2152,6.11,6.35,24.91,1.21,0.05
CJ,17년 12월,69789,2647,-92,3.79,0.20,-619.58,1.31,0
CJ,18년 3월,69742,3415,867,4.90,2.73,57.67,1.11,0.02
CJ,18년 6월,70625,3013,3635,4.27,12.09,12.28,0.93,0.09
CJ,18년 9월,76861,4064,71,5.29,1.86,564.97,0.84,0
CJ,18년 12월,78006,2832,-1812,3.63,-3.94,-21.08,0.84,-0.04
CJ,19년 3월,77949,3433,483,4.40,1.47,91.84,0.98,0.01
CJ,19년 6월,84537,3652,2151,4.32,3.44,16.74,0.75,0.05
CJ,19년 9월,86797,4268,320,4.92,0.85,91.28,0.60,0.01
CJ,19년 12월,88513,3739,-284,4.22,-1.74,-121.51,0.69,-0.01
CJ,20년 3월,78400,2643,1524,3.37,4.63,15.10,0.46,0.03
CJ,20년 6월,77940,3588,275,4.60,0.71,112.06,0.61,0.01
CJ CGV,09년 9월,1264,247,201,19.52,15.89,20.54,1.84,0.09
CJ CGV,09년 12월,-,-,-,-,-,-,1.97,-
CJ CGV,10년 3월,1328,211,105,15.91,7.90,46.75,2.08,0.05
CJ CGV,10년 6월,1077,107,32,9.96,2.97,152.01,2.02,0.01
CJ CGV,10년 9월,1569,323,218,20.57,13.92,24.83,2.07,0.09
CJ CGV,10년 12월,-,-,-,-,-,-,2.22,-
CJ CGV,11년 3월,1160,123,91,10.64,7.86,58.51,1.77,0.03
CJ CGV,11년 6월,1281,187,87,14.62,6.80,70.18,1.98,0.03
CJ CGV,11년 9월,1692,319,221,18.83,13.05,22.23,1.49,0.07
CJ CGV,11년 12월,-,-,-,-,-,-,1.80,-
CJ CGV,12년 3월,1638,132,48,8.07,3.06,114.31,-,-
CJ CGV,12년 6월,1814,203,167,11.18,9.49,32.04,-,-
CJ CGV,12년 9월,2326,224,361,9.61,15.61,16.42,-,-
CJ CGV,12년 12월,2015,-7,-34,-0.33,-1.75,-193.66,1.92,-
CJ CGV,13년 3월,2247,208,108,9.28,5,95.29,2.93,0.03
CJ CGV,13년 6월,2107,120,-13,5.69,0.38,-799.73,2.93,0
CJ CGV,13년 9월,2670,216,161,8.10,5.83,72.39,3.13,0.05
CJ CGV,13년 12월,2134,-29,-129,-1.38,-7.25,-71.28,2.47,-0.04
CJ CGV,15년 9월,3581,390,344,10.89,9.58,64.66,5.08,0.08
CJ CGV,15년 12월,2995,48,-31,1.61,-1.04,-863.47,6.33,-0.01
CJ CGV,16년 3월,3143,177,133,5.64,4.36,157.08,4.90,0.03
CJ CGV,16년 6월,3146,8,52,0.27,1.44,422.60,5.14,0.01
CJ CGV,16년 9월,4221,340,66,8.05,0.11,266.45,4.52,0.02
CJ CGV,16년 12월,3812,178,-128,4.67,-3.43,-116.49,3.99,-0.03
CJ CGV,17년 3월,4055,146,-44,3.60,0.47,-362.20,4.99,-0.01
CJ CGV,17년 6월,3826,-31,-112,-0.82,-3.09,-139.63,4.73,-0.03
CJ CGV,17년 9월,4722,322,291,6.82,6.39,46.89,3.73,0.08
CJ CGV,17년 12월,4541,426,-149,9.38,-2.26,-105.22,5.10,-0.04
CJ CGV,18년 3월,4412,192,-53,4.35,0.65,-271.07,4.65,-0.02
CJ CGV,18년 6월,4048,3,-170,0.07,-4.92,-83.59,5.28,-0.06
CJ CGV,18년 9월,4730,326,14,6.90,-0.48,779.83,5.19,0.01
CJ CGV,18년 12월,4504,256,-1197,5.69,-37.58,-7.25,7.76,-0.74
CJ CGV,19년 3월,4646,235,-69,5.06,-1.85,-132.62,8.16,-0.06
CJ CGV,19년 6월,4819,235,-88,4.87,-2.04,-90.20,8.02,-0.08
CJ CGV,19년 9월,4975,310,18,6.23,-1.43,390.38,2.84,0.01
CJ CGV,19년 12월,4983,440,-1387,8.84,-42.86,-5.27,2.70,-0.53
CJ CGV,20년 3월,2433,-716,-955,-29.44,-48.72,-4.04,2.34,-0.44
CJ CGV,20년 6월,416,-1305,-1432,-313.83,-420.48,-3.43,28.18,-1.57
CJ대한통운,09년 9월,6067,367,248,6.05,4.08,63.86,0.65,0.01
CJ대한통운,09년 12월,-,-,-,-,-,-,0.54,-
CJ대한통운,10년 3월,-,-,-,-,-,-,-,-
CJ대한통운,10년 6월,5164,273,76,5.28,1.47,183.59,0.58,0
CJ대한통운,10년 9월,5387,271,229,5.03,4.25,59.92,0.57,0.01
CJ대한통운,10년 12월,-,-,-,-,-,-,0.86,-
CJ대한통운,11년 3월,6593,278,66,4.22,0.67,360.60,0.84,0
CJ대한통운,11년 6월,5847,345,213,5.90,3.69,115.43,0.86,0.01
CJ대한통운,11년 9월,6280,377,179,6,2.80,85.07,0.53,0.01
CJ대한통운,11년 12월,7158,250,386,3.49,5.22,44.33,0.59,0.02
CJ대한통운,12년 3월,6615,363,281,5.48,3.24,64.99,0.62,0.01
CJ대한통운,12년 6월,7131,422,228,5.92,3.08,78.25,0.60,0.01
CJ대한통운,12년 9월,6973,329,269,4.72,3.57,82.14,0.73,0.01
CJ대한통운,12년 12월,5556,317,51,5.70,0.25,453.40,0.76,0
CJ대한통운,13년 3월,6523,143,112,2.19,1.25,200.34,0.75,0
CJ대한통운,13년 6월,10548,142,2,1.35,-0.19,"9,282.17",0.73,0
CJ대한통운,13년 9월,10593,-28,-292,-0.26,-3.06,-75.12,0.75,-0.01
CJ대한통운,13년 12월,10287,385,-380,3.74,-3.28,-60.06,0.79,-0.02
CJ대한통운,15년 9월,12701,516,174,4.07,1.41,262.03,1.53,0.01
CJ대한통운,15년 12월,13378,426,185,3.19,1.43,235.57,1.45,0.01
CJ대한통운,16년 3월,14452,532,237,3.68,1.82,183.08,1.44,0.01
CJ대한통운,16년 6월,15136,597,252,3.94,1.88,196.07,1.62,0.01
CJ대한통운,16년 9월,14903,603,-27,4.05,0.04,"-1,843.85",1.63,0
CJ대한통운,16년 12월,16329,552,95,3.38,0.79,428.26,1.34,0
CJ대한통운,17년 3월,15949,511,38,3.21,0.28,"1,011.08",1.24,0
CJ대한통운,17년 6월,17078,619,223,3.62,1.44,184.64,1.33,0.01
CJ대한통운,17년 9월,18732,626,93,3.34,0.58,402.21,1.20,0
CJ대한통운,17년 12월,19344,600,-38,3.10,-0.04,-830.01,1.04,0
CJ대한통운,18년 3월,20015,453,329,2.26,1.74,95.31,0.99,0.01
CJ대한통운,18년 6월,22846,571,46,2.50,0.29,826.52,1.21,0
CJ대한통운,18년 9월,24184,529,-2,2.19,0.21,"-20,438.73",1.14,0
CJ대한통운,18년 12월,25152,874,5,3.48,0.20,"7,673.21",1.14,0
CJ대한통운,19년 3월,24327,453,-153,1.86,-0.53,-246.98,1,-0.01
CJ대한통운,19년 6월,25348,718,133,2.83,0.69,230.45,0.81,0
CJ대한통운,19년 9월,26218,887,60,3.38,0.50,545.37,0.87,0
CJ대한통운,19년 12월,28257,1013,351,3.59,1.16,100.61,0.94,0.01
CJ대한통운,20년 3월,25154,582,158,2.31,0.45,196.88,0.81,0.01
CJ대한통운,20년 6월,26500,839,334,3.16,1.37,107.44,0.94,0.01
CJ씨푸드,09년 9월,251,13,12,5.23,4.89,30.11,1.48,0.05
CJ씨푸드,09년 12월,267,11,11,4.13,4.30,32.72,1.50,0.05
CJ씨푸드,10년 3월,263,20,21,7.79,8.02,29.39,2.28,0.08
CJ씨푸드,10년 6월,271,13,7,4.89,2.72,163.16,4.32,0.03
CJ씨푸드,10년 9월,269,9,12,3.38,4.48,75.97,3.13,0.04
CJ씨푸드,10년 12월,308,18,11,5.92,3.57,77.72,2.82,0.04
CJ씨푸드,11년 3월,304,17,16,5.51,5.33,75.34,3.86,0.05
CJ씨푸드,11년 6월,302,14,16,4.52,5.44,53.57,2.66,0.05
CJ씨푸드,11년 9월,307,7,-5,2.17,-1.58,-188.57,2.81,-0.01
CJ씨푸드,11년 12월,-,-,-,-,-,-,2.92,-
CJ씨푸드,12년 3월,405,10,9,2.46,2.19,125.07,3.21,0.03
CJ씨푸드,12년 6월,395,11,4,2.68,1.11,198.03,2.51,0.01
CJ씨푸드,12년 9월,436,18,19,4.03,4.30,47.91,2.45,0.05
CJ씨푸드,12년 12월,433,26,25,6,5.77,43.64,2.79,0.07
CJ씨푸드,13년 3월,430,23,17,5.42,4.05,60.55,2.55,0.04
CJ씨푸드,13년 6월,361,14,8,3.91,2.36,112.10,2.27,0.02
CJ씨푸드,13년 9월,374,10,15,2.78,3.98,65.29,2.26,0.04
CJ씨푸드,13년 12월,379,24,23,6.39,6.16,38.57,2.02,0.05
CJ씨푸드,15년 9월,402,8,-1,1.89,-0.13,"-3,302.77",3.54,0
CJ씨푸드,15년 12월,441,18,7,4.03,1.48,193.03,2.52,0.01
CJ씨푸드,16년 3월,428,12,11,2.83,2.67,112.54,2.51,0.02
CJ씨푸드,16년 6월,405,6,13,1.58,3.11,91.15,2.19,0.02
CJ씨푸드,16년 9월,442,13,14,2.89,3.08,99.22,2.52,0.03
CJ씨푸드,16년 12월,463,27,16,5.90,3.48,77.81,2.27,0.03
CJ씨푸드,17년 3월,437,19,14,4.41,3.30,83.61,2.14,0.03
CJ씨푸드,17년 6월,391,10,6,2.46,1.50,210.42,2.14,0.01
CJ씨푸드,17년 9월,424,12,7,2.75,1.57,157.99,1.81,0.01
CJ씨푸드,17년 12월,394,25,19,6.35,4.81,54.78,1.73,0.03
CJ씨푸드,18년 3월,382,16,7,4.08,1.88,137.46,1.61,0.01
CJ씨푸드,18년 6월,352,8,4,2.39,1.22,244.90,1.73,0.01
CJ씨푸드,18년 9월,372,-2,-2,-0.47,-0.52,-516.34,1.64,0
CJ씨푸드,18년 12월,401,19,12,4.76,3,69.72,1.36,0.02
CJ씨푸드,19년 3월,373,2,-4,0.56,-1.17,-183.79,1.30,-0.01
CJ씨푸드,19년 6월,350,6,7,1.77,1.88,146.62,1.53,0.01
CJ씨푸드,19년 9월,377,6,3,1.55,0.87,340.65,1.76,0.01
CJ씨푸드,19년 12월,392,23,13,5.83,3.26,76.27,1.51,0.02
CJ씨푸드,20년 3월,384,17,10,4.33,2.63,110.10,1.71,0.02
CJ씨푸드,20년 6월,331,6,5,1.90,1.58,264.32,2.10,0.01
CJ제일제당,09년 9월,10527,1182,1460,11.23,13.87,19.29,1.55,0.08
CJ제일제당,09년 12월,-,-,-,-,-,-,1.52,-
CJ제일제당,10년 3월,-,-,-,-,-,-,-,-
CJ제일제당,10년 6월,9324,467,4430,5.01,47.51,6.93,1.13,0.20
CJ제일제당,10년 9월,10829,819,1463,7.56,13.51,22.56,1.18,0.05
CJ제일제당,10년 12월,-,-,-,-,-,-,1.06,-
CJ제일제당,11년 3월,16262,1116,813,6.86,5.09,39.89,1.20,0.03
CJ제일제당,11년 6월,15707,1004,718,6.39,4.63,46.28,1.21,0.03
CJ제일제당,11년 9월,17513,1620,260,9.25,1.48,162.97,1.45,0.01
CJ제일제당,11년 12월,15900,860,1225,5.41,8.35,34.04,1.47,0.04
CJ제일제당,12년 3월,23716,1584,898,6.68,4.33,53.87,1.62,0.03
CJ제일제당,12년 6월,24408,1569,325,6.43,2.04,144.19,1.56,0.01
CJ제일제당,12년 9월,26426,1715,844,6.49,3.98,52.48,1.44,0.03
CJ제일제당,12년 12월,24226,1287,481,5.31,2.19,106.48,1.68,0.02
CJ제일제당,13년 3월,24484,1252,361,5.12,1.91,139.11,1.59,0.01
CJ제일제당,13년 6월,27534,798,39,2.90,0.13,947.80,1.19,0
CJ제일제당,13년 9월,29233,749,1205,2.56,2.66,33.11,1.32,0.04
CJ제일제당,13년 12월,27226,656,-439,2.41,-2.09,-91.07,1.35,-0.02
CJ제일제당,15년 9월,33664,2225,308,6.61,1.49,178.96,1.71,0.01
CJ제일제당,15년 12월,32732,1118,144,3.42,1.26,380.63,1.70,0
CJ제일제당,16년 3월,35340,2328,1226,6.59,4.23,41.04,1.51,0.04
CJ제일제당,16년 6월,36096,2106,423,5.83,1.99,133.02,1.68,0.01
CJ제일제당,16년 9월,36790,2433,1110,6.61,3.17,47.37,1.55,0.03
CJ제일제당,16년 12월,37406,1569,-1,4.20,0.42,"-61,351.11",1.48,0
CJ제일제당,17년 3월,38665,1925,820,4.98,2.35,62.38,1.50,0.02
CJ제일제당,17년 6월,39089,1644,211,4.21,1.10,247.75,1.50,0.01
CJ제일제당,17년 9월,44107,2693,2564,6.11,5.97,20.04,1.43,0.07
CJ제일제당,17년 12월,42911,1504,106,3.51,0.35,499.24,1.53,0
CJ제일제당,18년 3월,43486,2103,625,4.84,1.66,79.53,1.28,0.02
CJ제일제당,18년 6월,44537,1846,7585,4.15,17.59,7.61,1.17,0.17
CJ제일제당,18년 9월,49456,2652,1080,5.36,2.44,50.57,1.10,0.02
CJ제일제당,18년 12월,49221,1727,-538,3.51,-1.03,-100.59,1.11,-0.01
CJ제일제당,19년 3월,50178,1791,409,3.57,0.82,129.35,1.07,0.01
CJ제일제당,19년 6월,55153,1753,162,3.18,0.72,300.31,0.98,0
CJ제일제당,19년 9월,58581,2727,19,4.66,0.29,"1,994.91",0.75,0
CJ제일제당,19년 12월,59613,2698,935,4.53,1.57,44.23,0.83,0.02
CJ제일제당,20년 3월,58309,2759,4437,4.73,7.75,7.97,0.64,0.09
CJ제일제당,20년 6월,59209,3849,1114,6.50,2.67,47.93,0.95,0.02
CS홀딩스,09년 9월,309,28,14,9.14,4.64,33.92,0.43,0.01
CS홀딩스,09년 12월,313,27,19,8.69,6.17,23.97,0.41,0.02
CS홀딩스,10년 3월,13,6,4,44.08,30.22,280.90,1.08,0
CS홀딩스,10년 6월,-0.09,-305,22,"348,813.96","-24,974.02",17.47,0.49,0.02
