title,code,sector,isKOSPI,saleGrowthRate,saleGrowthRateAvg,operatingMarginRate,operatingMarginRateAvg,crawledPER,crawledPERAvg
S&TC,100840,기계,True,-5.66,8.28,9.45,-8.38,7.23,-24.04
S&T모티브,064960,자동차부품,True,-5.42,1.38,9.06,-1.62,12.36,33.75
S&T중공업,003570,자동차부품,True,-7.11,1.38,4.41,-1.62,14.26,33.75
S&T홀딩스,036530,자동차부품,True,-0.56,1.38,8.49,-1.62,5.12,33.75
S-Oil,010950,석유와 가스,True,14.33,7.14,-5.07,-10.84,-8.83,-9.37
SBS,034120,방송과엔터테인먼트,True,-0.46,14.98,3.15,-19.88,41.32,-39.21
SBS미디어홀딩스,101060,방송과엔터테인먼트,True,-21.96,14.98,-3.45,-19.88,-3.19,-39.21
SG세계물산,004060,"섬유, 의류, 신발, 호화품",True,0.42,5.16,-6.61,0.07,23.95,29.35
SG충방,001380,자동차부품,True,-3.84,1.38,1.2,-1.62,-48.85,33.75
SH에너지화학,002360,화학,True,-13.6,9.18,-9.87,4.62,-10.7,52.81
SIMPAC,009160,기계,True,17.21,8.28,1.98,-8.38,18.28,-24.04
SK,034730,복합기업,True,6.26,3.68,0.81,5.86,-409.76,22.85
SKC,011790,화학,True,2.49,9.18,5.99,4.62,37.2,52.81
SK가스,018670,가스 유틸리티,True,-2.2,2.74,5.6,2.41,2.96,32.62
SK네트웍스,001740,복합기업,True,0.38,3.68,0.6,5.86,-40.69,22.85
SK디스커버리,006120,석유와 가스,True,-1.92,7.14,5.2,-10.84,5.08,-9.37
SK디앤디,210980,부동산,True,18.05,15.65,23.26,45.89,8.61,15.14
SK렌터카,068400,도로와 철도운송,True,-0.35,-1.27,6.87,0.07,19.97,28.83
SK이노베이션,096770,석유와 가스,True,8.07,7.14,-5.35,-10.84,-5.78,-9.37
SK증권,001510,증권,True,5.61,12.58,0.6,6.64,251.36,7.41
SK케미칼,285130,화학,True,-,-,-,-,-,-
SK텔레콤,017670,무선통신서비스,True,1.26,1.04,6.48,5.5,17.01,12.57
SK하이닉스,000660,반도체와 반도체 장비,True,16.21,11.5,11.01,4.21,31.85,18.62
SPC삼립,005610,식품,True,10.14,10.85,1.83,3.99,-49.11,20.65
STX,011810,무역회사와 판매업체,True,-5.08,0.51,0.25,0.53,-8.43,9.56
STX엔진,077970,조선,True,4.84,-3.94,2.44,-8.11,59.82,-26.88
STX중공업,071970,조선,True,-15.2,-3.94,-2.09,-8.11,-4.03,-26.88
TCC스틸,002710,철강,True,-0.55,4.43,1.24,0.86,240.51,38.85
WISCOM,024070,화학,True,-4.96,9.18,-1.42,4.62,-54.12,52.81
YG PLUS,037270,방송과엔터테인먼트,True,20.96,14.98,-3.08,-19.88,-42.16,-39.21
가온전선,000500,전기장비,True,3.47,6.05,1.28,2.18,10.74,-82.91
강남제비스코,000860,건축자재,True,0.02,4.02,-1.6,-0.13,9.09,39.49
강원랜드,035250,"호텔, 레스토랑, 레저",True,-3.59,10.8,-81.84,-70.8,-239.05,-41.62
갤럭시아에스엠,011420,방송과엔터테인먼트,True,-14.85,14.98,1.17,-19.88,-153.09,-39.21
경농,002100,화학,True,3.71,9.18,-9.11,4.62,35.69,52.81
경동나비엔,009450,가정용 기기와 용품,True,9.9,5.66,8.35,1.6,19.25,17.42
경동도시가스,267290,가스 유틸리티,True,-,-,-,-,-,-
경동인베스트,012320,석유와 가스,True,19.33,7.14,3.58,-10.84,12.81,-9.37
경방,000050,"섬유, 의류, 신발, 호화품",True,-3.06,5.16,6.38,0.07,7.19,29.35
경보제약,214390,제약,True,0.88,11.49,3.14,-258.49,36.11,123.4
경인양행,012610,화학,True,9.29,9.18,4.26,4.62,67.77,52.81
경인전자,009140,전자제품,True,-20.58,0.89,-2.7,-61.35,14,24.63
계룡건설산업,013580,건설,True,5.13,8.53,6.21,1.03,2.82,7.02
계양전기,012200,자동차부품,True,4.47,1.38,-0.86,-1.62,24.4,33.75
고려산업,002140,식품,True,3.76,10.85,5.07,3.99,12.24,20.65
고려아연,010130,비철금속,True,4.61,3.09,11.06,-5.78,13.5,21.5
고려제강,002240,철강,True,4.98,4.43,-1.19,0.86,-14.13,38.85
광동제약,009290,제약,True,5.44,11.49,3.21,-258.49,18.53,123.4
광명전기,017040,전기장비,True,10.8,6.05,5.71,2.18,10.7,-82.91
광전자,017900,전자장비와 기기,True,-0.93,9.27,-2.47,0.6,-43.19,51
광주신세계,037710,백화점과 일반상점,True,-9.71,5,34.07,-12.69,5.47,-26.88
교보증권,030610,증권,True,9.34,12.58,8.69,6.64,7.7,7.41
국도화학,007690,화학,True,5.59,9.18,3.97,4.62,8.21,52.81
국동,005320,"섬유, 의류, 신발, 호화품",True,4.17,5.16,9.33,0.07,7.11,29.35
국보,001140,항공화물운송과 물류,True,0.66,4.94,-5.81,1.37,-7.34,20.34
국제약품,002720,제약,True,-2.71,11.49,6.8,-258.49,36.85,123.4
그린케미칼,083420,화학,True,-1.63,9.18,6.25,4.62,13.37,52.81
극동유화,014530,석유와 가스,True,50.98,7.14,2.26,-10.84,9.82,-9.37
금강공업,014280,건축제품,True,-3.04,3.76,-0.62,-0.73,-9.76,-57.39
금비,008870,포장재,True,0.14,5.6,3.26,6.39,64.87,12.99
금양,001570,화학,True,0.79,9.18,3.79,4.62,-17.11,52.81
금호산업,002990,건설,True,5.68,8.53,4.49,1.03,9.54,7.02
금호석유화학,011780,화학,True,7.83,9.18,7.39,4.62,15.51,52.81
금호에이치티,214330,자동차부품,True,6.38,1.38,-1.72,-1.62,-39.92,33.75
금호전기,001210,디스플레이장비 및 부품,True,-46.68,0.55,-9.85,-4.9,-1.66,84.28
금호타이어,073240,자동차부품,True,-7.02,1.38,0.32,-1.62,-11.37,33.75
기신정기,092440,기계,True,4.96,8.28,6.89,-8.38,14.31,-24.04
기아자동차,000270,자동차,True,3.32,4.2,2.3,-5.63,27.56,41.72
기업은행,024110,은행,True,3.5,8.33,13.56,12.84,4.87,5.04
까뮤이앤씨,013700,건설,True,26.59,8.53,3.15,1.03,7.74,7.02
깨끗한나라,004540,종이와 목재,True,-5.59,-1.93,8.72,-3.24,4.66,28.47
남광토건,001260,건설,True,8.76,8.53,3.06,1.03,18.22,7.02
남선알미늄,008350,건축제품,True,-6.77,3.76,2.09,-0.73,47.17,-57.39
남성,004270,전자장비와 기기,True,-4.49,9.27,-2.74,0.6,-37.69,51
남양유업,003920,식품,True,-5.95,10.85,-3.58,3.99,-8.98,20.65
남해화학,025860,화학,True,2.68,9.18,2.42,4.62,17.7,52.81
넥센,005720,자동차부품,True,92.46,1.38,2.84,-1.62,11.39,33.75
넥센타이어,002350,자동차부품,True,2.2,1.38,4.41,-1.62,10.58,33.75
넥스트사이언스,003580,건축자재,True,24.26,4.02,-36.03,-0.13,-17.01,39.49
넷마블,251270,게임엔터테인먼트,True,13.25,37.78,9.65,-22.21,54.26,31.48
노루페인트,090350,건축자재,True,10.57,4.02,4.15,-0.13,8.35,39.49
노루홀딩스,000320,건축자재,True,8.61,4.02,2.73,-0.13,36.17,39.49
녹십자,006280,제약,True,4.57,11.49,3.38,-258.49,102.6,123.4
녹십자홀딩스,005250,제약,True,4.03,11.49,1.87,-258.49,56.02,123.4
농심,004370,식품,True,1.87,10.85,5.84,3.99,13.1,20.65
농심홀딩스,072710,식품,True,2.54,10.85,10.94,3.99,6,20.65
다스코,058730,건축제품,True,11.22,3.76,-1.07,-0.73,-25.87,-57.39
다우기술,023590,IT서비스,True,41.18,9.32,10.47,-0.69,5.06,23.77
대교,019680,교육서비스,True,-2.45,7.93,0.14,-8.86,-48.86,-26.12
대구백화점,006370,백화점과 일반상점,True,-9.58,5,-17.19,-12.69,-6.05,-26.88
대덕,008060,전자장비와 기기,True,29.75,9.27,-3.76,0.6,2.7,51
대덕전자,353200,전자장비와 기기,True,-,-,-,-,-,-
대동공업,000490,기계,True,12.47,8.28,2.14,-8.38,22.6,-24.04
대동전자,008110,전자장비와 기기,True,3.15,9.27,-7,0.6,184.22,51
대림건설,001880,건설,True,11.99,8.53,12.71,1.03,4.39,7.02
대림비앤코,005750,건축제품,True,4.18,3.76,0.07,-0.73,-20.9,-57.39
대림산업,000210,건설,True,-0.52,8.53,12.07,1.03,3.98,7.02
대림통상,006570,건축제품,True,1.73,3.76,-3.4,-0.73,-5.08,-57.39
대상,001680,식품,True,1.26,10.85,5.49,3.99,6.58,20.65
대상홀딩스,084690,식품,True,2.3,10.85,5.61,3.99,3.5,20.65
대성산업,128820,석유와 가스,True,1.29,7.14,-1.16,-10.84,-2.13,-9.37
대성에너지,117580,가스 유틸리티,True,1.61,2.74,1.94,2.41,10.71,32.62
대성홀딩스,016710,가스 유틸리티,True,1.65,2.74,1.33,2.41,32.22,32.62
대신증권,003540,증권,True,-13.28,12.58,-0.15,6.64,24.02,7.41
대양금속,009190,비철금속,True,1.2,3.09,0.85,-5.78,53.2,21.5
대영포장,014160,포장재,True,0.37,5.6,3.15,6.39,19.53,12.99
대우건설,047040,건설,True,-7.99,8.53,4.47,1.03,8,7.02
대우부품,009320,자동차부품,True,-0.09,1.38,-0.75,-1.62,-66.83,33.75
대우조선해양,042660,조선,True,-13.29,-3.94,6.84,-8.11,16.66,-26.88
대웅,003090,제약,True,10.4,11.49,6.29,-258.49,29.69,123.4
대웅제약,069620,제약,True,8,11.49,1.03,-258.49,-681.78,123.4
대원강업,000430,자동차부품,True,-3.73,1.38,0.9,-1.62,88.74,33.75
대원전선,006340,전기장비,True,-1.69,6.05,0.52,2.18,-278.46,-82.91
대원제약,003220,제약,True,9.7,11.49,11.35,-258.49,14.34,123.4
대원화성,024890,"섬유, 의류, 신발, 호화품",True,2.28,5.16,2.8,0.07,43.89,29.35
대유에이텍,002880,자동차부품,True,7.96,1.38,1.91,-1.62,34.84,33.75
대유플러스,000300,자동차부품,True,6.88,1.38,5.77,-1.62,49.66,33.75
대창,012800,비철금속,True,3.21,3.09,2.17,-5.78,24.19,21.5
대창단조,015230,기계,True,9.12,8.28,7.7,-8.38,7.65,-24.04
대한방직,001070,"섬유, 의류, 신발, 호화품",True,-13.98,5.16,-4.5,0.07,-18.4,29.35
대한유화,006650,화학,True,9.12,9.18,5.96,4.62,18.56,52.81
대한전선,001440,전기장비,True,4.21,6.05,3.53,2.18,86.7,-82.91
대한제강,084010,철강,True,4.4,4.43,4.95,0.86,7.48,38.85
대한제당,001790,식품,True,-1.6,10.85,2.66,3.99,12.18,20.65
대한제분,001130,식품,True,4.96,10.85,2.86,3.99,9.66,20.65
대한항공,003490,항공사,True,2.63,15.13,2.43,-51.39,-5.42,-3.65
대한해운,005880,해운사,True,23.01,2.28,13.74,16.25,14.75,62.29
대한화섬,003830,화학,True,2.97,9.18,5.49,4.62,8.04,52.81
대현,016090,"섬유, 의류, 신발, 호화품",True,2.26,5.16,3.87,0.07,6.56,29.35
대호에이엘,069460,비철금속,True,-0.03,3.09,-0.84,-5.78,-15.43,21.5
더블유게임즈,192080,게임엔터테인먼트,True,48.9,37.78,29.59,-22.21,10.54,31.48
더존비즈온,012510,소프트웨어,True,14.11,9.35,25.11,2.33,61.94,163.9
덕성,004830,"섬유, 의류, 신발, 호화품",True,-5.82,5.16,4.6,0.07,35.63,29.35
덕양산업,024900,자동차부품,True,8.98,1.38,-0.82,-1.62,-4.17,33.75
덴티움,145720,건강관리장비와 용품,True,28.15,16.26,12.35,-217.95,182.67,390.18
도화엔지니어링,002150,건설,True,16.7,8.53,4.38,1.03,12.77,7.02
동국제강,001230,철강,True,4.16,4.43,4.35,0.86,-14.16,38.85
동남합성,023450,화학,True,6.54,9.18,10.83,4.62,6.57,52.81
동방,004140,항공화물운송과 물류,True,4.01,4.94,3.21,1.37,-3.27,20.34
동방아그로,007590,화학,True,2.47,9.18,-6.45,4.62,12.05,52.81
동부건설,005960,건설,True,25.43,8.53,5.34,1.03,5.16,7.02
동서,026960,식품,True,-0.76,10.85,8.01,3.99,21.17,20.65
동성제약,002210,제약,True,2.77,11.49,-6.42,-258.49,-31.46,123.4
동성코퍼레이션,102260,화학,True,-0.12,9.18,6.21,4.62,19.74,52.81
동성화학,005190,화학,True,4.37,9.18,14.27,4.62,5,52.81
동아쏘시오홀딩스,000640,제약,True,1.96,11.49,6.83,-258.49,34.66,123.4
동아에스티,170900,제약,True,2.99,11.49,8.55,-258.49,9.4,123.4
동아지질,028100,건설,True,5.63,8.53,3.71,1.03,16.68,7.02
동아타이어,282690,자동차부품,True,-,-,-,-,-,-
동양,001520,건축자재,True,7.01,4.02,-2.44,-0.13,217.97,39.49
동양고속,084670,도로와 철도운송,True,-3.34,-1.27,-9.6,0.07,3.79,28.83
동양물산기업,002900,기계,True,19.82,8.28,4.15,-8.38,19.86,-24.04
동양생명,082640,생명보험,True,-5.58,-0.22,1.73,2.72,4.51,12.69
동양철관,008970,철강,True,8.12,4.43,5.18,0.86,17.43,38.85
동양피스톤,092780,자동차부품,True,6.97,1.38,1.92,-1.62,56.71,33.75
동원F&B,049770,식품,True,10.58,10.85,3.49,3.99,9.66,20.65
동원금속,018500,자동차부품,True,-2.52,1.38,0.53,-1.62,-1.92,33.75
동원산업,006040,식품,True,19.39,10.85,8.07,3.99,8.69,20.65
동원수산,030720,식품,True,7.2,10.85,1.56,3.99,63.47,20.65
동원시스템즈,014820,포장재,True,-7.12,5.6,8.05,6.39,17.68,12.99
동일고무벨트,163560,자동차부품,True,3.76,1.38,7.12,-1.62,12.62,33.75
동일산업,004890,철강,True,5.23,4.43,-0.91,0.86,73.91,38.85
동일제강,002690,철강,True,10.37,4.43,0.75,0.86,38.1,38.85
동화약품,000020,제약,True,8.95,11.49,5.81,-258.49,30.26,123.4
두산,000150,복합기업,True,4.02,3.68,3.44,5.86,7.81,22.85
두산밥캣,241560,기계,True,11.11,8.28,8.39,-8.38,18.04,-24.04
두산솔루스,336370,전자장비와 기기,True,-,-,-,-,-,-
두산인프라코어,042670,기계,True,12.63,8.28,8.27,-8.38,12.32,-24.04
두산중공업,034020,기계,True,3.92,8.28,2.54,-8.38,-3.27,-24.04
두산퓨얼셀,336260,전기제품,True,-,-,-,-,-,-
두올,016740,자동차부품,True,16.34,1.38,5.33,-1.62,17.58,33.75
드림텍,192650,핸드셋,True,0.15,3.39,2.19,-7.02,69.5,102.66
디씨엠,024090,비철금속,True,4.18,3.09,8.29,-5.78,5.85,21.5
디아이,003160,반도체와 반도체 장비,True,-0.06,11.5,-3.6,4.21,12.94,18.62
디아이동일,001530,"섬유, 의류, 신발, 호화품",True,4.54,5.16,5.45,0.07,14.69,29.35
디아이씨,092200,자동차부품,True,1.06,1.38,-9.4,-1.62,-0.67,33.75
디와이,013570,기계,True,5.7,8.28,3.99,-8.38,15.48,-24.04
디와이파워,210540,기계,True,14.44,8.28,8.15,-8.38,7.08,-24.04
디티알오토모티브,007340,자동차부품,True,5.33,1.38,7.44,-1.62,4.69,33.75
디피씨,026890,전기제품,True,7.34,17.99,13.14,2.73,23.86,148.48
락앤락,115390,포장재,True,4.57,5.6,4.25,6.39,46.19,12.99
롯데관광개발,032350,"호텔, 레스토랑, 레저",True,20.64,10.8,-537.49,-70.8,-24.84,-41.62
롯데리츠,330590,부동산,True,-,-,-,-,-,-
롯데손해보험,000400,손해보험,True,6.67,7.44,-2.16,2.54,-21.17,8.36
롯데쇼핑,023530,백화점과 일반상점,True,-9.93,5,1.08,-12.69,-2.12,-26.88
롯데정밀화학,004000,화학,True,5.69,9.18,14.16,4.62,7.6,52.81
롯데정보통신,286940,IT서비스,True,-,-,-,-,-,-
롯데제과,280360,식품,True,-,-,-,-,-,-
롯데지주,004990,식품,True,57.93,10.85,1.83,3.99,-5.22,20.65
롯데칠성음료,005300,음료,True,2.38,1.64,3.07,1.96,-10.01,173.11
롯데케미칼,011170,화학,True,4.58,9.18,2.34,4.62,85.43,52.81
롯데푸드,002270,식품,True,0.48,10.85,2.58,3.99,4.85,20.65
롯데하이마트,071840,전문소매,True,0.73,24.11,3.1,-19.13,-8.14,-11.75
마니커,027740,식품,True,1.69,10.85,-16.34,3.99,-3.3,20.65
만도,204320,자동차부품,True,0.65,1.38,0.56,-1.62,-38.68,33.75
만호제강,001080,철강,True,-2.85,4.43,-0.02,0.86,104.53,38.85
맥쿼리인프라,088980,운송 인프라,True,-,-,-,-,-,-
맵스리얼티1,094800,-,True,-,-,-,-,-,-
메리츠금융지주,138040,손해보험,True,21.79,7.44,4.08,2.54,3.25,8.36
메리츠증권,008560,증권,True,34.04,12.58,4.65,6.64,4.97,7.41
메리츠화재,000060,손해보험,True,12.26,7.44,3.88,2.54,5.03,8.36
메타랩스,090370,"섬유, 의류, 신발, 호화품",True,9.22,5.16,-0.23,0.07,-4.27,29.35
명문제약,017180,제약,True,1.65,11.49,-17.92,-258.49,-7.37,123.4
모나리자,012690,가정용품,True,-0.95,9.47,7.91,6.25,26.65,13.16
모나미,005360,문구류,True,-1.97,1.35,0.63,-1.2,-42.15,4.32
모두투어리츠,204210,부동산,True,17.4,15.65,59.9,45.89,9.5,15.14
모토닉,009680,자동차부품,True,2.06,1.38,5.64,-1.62,36.62,33.75
무림P&P,009580,종이와 목재,True,1.79,-1.93,5.54,-3.24,-38.61,28.47
무림페이퍼,009200,종이와 목재,True,-0.23,-1.93,6.1,-3.24,-8.36,28.47
무학,033920,음료,True,-14.92,1.64,-4.17,1.96,-7.95,173.11
문배철강,008420,철강,True,7.75,4.43,1.17,0.86,19.26,38.85
미래산업,025560,반도체와 반도체 장비,True,5.91,11.5,-0.3,4.21,-7.46,18.62
미래아이앤지,007120,IT서비스,True,-8.71,9.32,2.23,-0.69,1.46,23.77
미래에셋대우,006800,증권,True,25.35,12.58,8.99,6.64,9.21,7.41
미래에셋맵스리츠,357250,부동산,True,-,-,-,-,-,-
미래에셋생명,085620,생명보험,True,-5.8,-0.22,4.52,2.72,6,12.69
미원상사,002840,화학,True,0.95,9.18,14.13,4.62,13.44,52.81
미원에스씨,268280,화학,True,-,-,-,-,-,-
미원홀딩스,107590,화학,True,25.58,9.18,5.87,4.62,9.43,52.81
미원화학,134380,화학,True,3.41,9.18,10.95,4.62,8.9,52.81
미창석유공업,003650,석유와 가스,True,4.88,7.14,7.02,-10.84,5.8,-9.37
