title,startDate,endDate,raw,scale
F&F,2020.11.24,2020.12.04,"[1, 0, 28, 3, 3, 0, 2, 6, 3, 3, 2]","[0.03571428571428571, 0.0, 1.0, 0.10714285714285714, 0.10714285714285714, 0.0, 0.07142857142857142, 0.21428571428571427, 0.10714285714285714, 0.10714285714285714, 0.07142857142857142]"
GKL,2020.11.24,2020.12.04,"[4, 3, 10, 2, 1, 0, 3, 6, 1, 5, 1]","[0.4, 0.3, 1.0, 0.2, 0.1, 0.0, 0.3, 0.6, 0.1, 0.5, 0.1]"
GS글로벌,2020.11.24,2020.12.04,"[0, 0, 0, 0, 0, 0, 0, 44, 0, 1, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.022727272727272728, 0.0]"
HDC아이콘트롤스,2020.11.24,2020.12.04,"[0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
HDC현대산업개발,2020.11.24,2020.12.04,"[8, 3, 30, 24, 1, 3, 18, 2, 19, 2, 3]","[0.2413793103448276, 0.06896551724137931, 1.0, 0.7931034482758621, 0.0, 0.06896551724137931, 0.5862068965517241, 0.034482758620689655, 0.6206896551724138, 0.034482758620689655, 0.06896551724137931]"
HSD엔진,2020.11.24,2020.12.04,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
KB금융,2020.11.24,2020.12.04,"[9, 6, 6, 7, 1, 16, 105, 3, 3, 94, 7]","[0.07692307692307693, 0.04807692307692308, 0.04807692307692308, 0.057692307692307696, 0.0, 0.14423076923076922, 1.0, 0.019230769230769232, 0.019230769230769232, 0.8942307692307693, 0.057692307692307696]"
JB금융지주,2020.11.24,2020.12.04,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
JW중외제약,2020.11.24,2020.12.04,"[1, 0, 0, 1, 0, 0, 45, 0, 86, 89, 6]","[0.011235955056179775, 0.0, 0.0, 0.011235955056179775, 0.0, 0.0, 0.5056179775280899, 0.0, 0.9662921348314607, 1.0, 0.06741573033707865]"
JW홀딩스,2020.11.24,2020.12.04,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
