title,code,sector,isKOSPI,saleGrowthRate,saleGrowthRateAvg,operatingMarginRate,operatingMarginRateAvg,crawledPER,crawledPERAvg,debtRatio
종근당바이오,063160,제약,True,6.67,11.49,9.61,-258.45,25.7,111.38,47.257
종근당홀딩스,001630,제약,True,29,11.49,12.17,-258.45,10.1,111.38,45.222
주연테크,044380,컴퓨터와 주변기기,True,12.38,7.43,-1.15,-12.44,-35,-50.84,44.479
지누스,013890,가구,True,40.29,27.33,12.82,4.89,19.74,21.8,101.812
지엠비코리아,013870,자동차부품,True,-1.2,1.38,-1.32,-1.59,-22.3,34.78,108.365
지역난방공사,071320,복합 유틸리티,True,11.25,15.15,-0.44,5.59,-95.24,5.3,285.291
지코,010580,자동차부품,True,1.13,1.38,-9.59,-1.59,-1.3,34.78,267.521
지투알,035000,광고,True,9.94,17.36,-1.06,15.59,5.86,18.07,252.445
진도,088790,"섬유, 의류, 신발, 호화품",True,-14.12,5.16,-7.82,-0.15,-68.27,26.53,44.964
진양산업,003780,화학,True,13.39,9.18,15.6,4.6,7.64,52.9,32.797
진양폴리우레탄,010640,화학,True,26.57,9.18,7.32,4.6,4.92,52.9,63.244
진양홀딩스,100250,화학,True,-4.63,9.18,6.03,4.6,4.14,52.9,37.902
진양화학,051630,화학,True,-8.23,9.18,-3.09,4.6,-109.9,52.9,40.553
진에어,272450,항공사,True,8.14,15.13,-79.27,-51.39,-2.95,-3.72,267.367
진원생명과학,011000,생물공학,True,9.55,29.47,-23.98,-688.98,-127.44,-67.3,112.602
진흥기업,002780,건설,True,-5.45,8.53,3.79,0.98,77.48,6.98,234.470
참엔지니어링,009310,디스플레이장비 및 부품,True,-15.25,0.55,-3.51,-4.96,11.4,84.62,804.634
천일고속,000650,도로와 철도운송,True,0.69,-1.27,-12.21,0.07,-46.75,29.08,56.939
체시스,033250,자동차부품,True,-3.55,1.38,-7.75,-1.59,-10.01,34.78,231.916
카카오,035720,양방향미디어와서비스,True,27.99,21.26,10.18,-21.71,-420.76,105.03,52.214
카프로,006380,화학,True,8.42,9.18,-26.35,4.6,-1.46,52.9,97.489
컨버즈,109070,종이와 목재,True,-0.14,-1.93,-85.25,-3.3,-6.33,31.73,-956.446
케이비아이동국실업,001620,자동차부품,True,-0.56,1.38,-6.3,-1.59,-2.51,34.78,217.327
케이씨,029460,반도체와 반도체 장비,True,25.27,11.5,15.05,4.25,6.17,16.95,34.136
케이씨씨,002380,건축자재,True,-7.98,4.02,2.35,0,-519.19,39.63,110.684
케이씨씨글라스,344820,건축자재,True,,,,,,,
케이씨텍,281820,반도체와 반도체 장비,True,,,,,,,17.012
케이씨티시,009070,항공화물운송과 물류,True,8.45,4.94,3.6,1.35,13.61,17.2,115.050
케이탑리츠,145270,부동산,True,16.21,15.65,70.98,45.89,8.17,15.26,207.875
케이티,030200,다각화된 통신서비스,True,2.29,14.13,4.91,1.03,10.12,11.84,124.280
케이티스카이라이프,053210,방송과엔터테인먼트,True,1.46,14.98,11.98,-19.87,6.79,-34.19,20.248
케이티앤지,033780,담배,True,3.29,3.3,26.86,26.86,12.01,12.05,23.044
코람코에너지리츠,357120,부동산,True,,,,,,,
코리아써키트,007810,전자장비와 기기,True,-0.11,9.52,3.71,0.39,24.62,39.58,22.440
코리아오토글라스,152330,자동차부품,True,1.18,1.38,11.88,-1.59,10.83,34.78,37.968
코리안리,003690,손해보험,True,7.62,7.44,2.01,2.54,5.5,8.44,
코스맥스,192820,화장품,True,20.69,25.83,4.96,-29.3,26.33,62.6,280.556
코스맥스비티아이,044820,제약,True,20.61,11.49,-0.83,-258.45,37.39,111.38,150.770
코스모신소재,005070,화학,True,8.63,9.18,3.37,4.6,199.6,52.9,78.227
코스모화학,005420,화학,True,12.4,9.18,0.73,4.6,-18.57,52.9,126.370
코아스,071950,가구,True,5.14,27.33,-2.48,4.89,-31.92,21.8,205.346
코오롱,002020,화학,True,3.82,9.18,5.2,4.6,2.79,52.9,401.255
코오롱글로벌,003070,건설,True,3.04,8.53,4.65,0.98,5.6,6.98,384.682
코오롱머티리얼,144620,"섬유, 의류, 신발, 호화품",True,-33.58,5.16,-18.29,-0.15,-10.67,26.53,77.106
코오롱인더,120110,화학,True,-1.15,9.18,2.64,4.6,6.8,52.9,148.931
코오롱플라스틱,138490,화학,True,11.48,9.18,-0.46,4.6,-57.6,52.9,71.370
코웨이,021240,가정용 기기와 용품,True,8.3,5.66,16.43,1.63,14.84,17.25,165.036
콤텍시스템,031820,IT서비스,True,12.7,9.32,-0.9,-0.65,-121.07,23.68,70.200
쿠쿠홀딩스,192400,가정용 기기와 용품,True,2.98,5.66,16.01,1.63,6.96,17.25,20.617
쿠쿠홈시스,284740,가정용 기기와 용품,True,,,,,,,36.863
큐로,015590,기계,True,-8.39,8.28,9.53,-8.39,-69.94,-24.97,121.949
크라운제과,264900,식품,True,,,,,,,134.359
크라운해태홀딩스,005740,식품,True,-3.9,10.85,4.78,4.04,-20.76,19.05,169.221
키다리스튜디오,020120,양방향미디어와서비스,True,24.34,21.26,7.1,-21.71,60.12,105.03,100.173
키움증권,039490,증권,True,47.96,12.58,10.21,6.64,7.19,7.64,
키위미디어그룹,012170,방송과엔터테인먼트,True,75.95,14.98,-261.9,-19.87,-0.92,-34.19,-698.385
태경비케이,014580,비철금속,True,2.82,3.09,4.4,-5.72,24.43,21.62,48.577
태경산업,015890,비철금속,True,5.32,3.09,2.37,-5.72,-40.43,21.62,63.566
태경케미컬,006890,화학,True,-6.6,9.18,12.29,4.6,13.92,52.9,14.457
태광산업,003240,화학,True,2.99,9.18,6.9,4.6,7.11,52.9,25.068
태림포장,011280,포장재,True,14.88,5.6,0.62,5.88,-159.8,13.64,76.471
태양금속공업,004100,자동차부품,True,-0.43,1.38,-4.74,-1.59,-1.83,34.78,449.607
태영건설,009410,건설,True,23.98,8.53,9.64,0.98,5.87,6.98,276.477
태원물산,001420,자동차부품,True,-11.71,1.38,-1.8,-1.59,129.56,34.78,18.613
태평양물산,007980,"섬유, 의류, 신발, 호화품",True,3.96,5.16,0.28,-0.15,-5.28,26.53,232.725
테이팩스,055490,화학,True,20.99,9.18,11.33,4.6,10.9,52.9,43.995
텔코웨어,078000,소프트웨어,True,0.72,9.35,-5.93,2.33,42.85,165.38,14.650
토니모리,214420,화장품,True,-9.63,25.83,-12.47,-29.3,-6.81,62.6,144.353
티비에이치글로벌,084870,"섬유, 의류, 신발, 호화품",True,-33.67,5.16,-4.28,-0.15,-0.44,26.53,63.014
티에이치엔,019180,자동차부품,True,11.03,1.38,2.84,-1.59,-2.06,34.78,320.904
티와이홀딩스,363280,건설,True,,,,,,,
티웨이항공,091810,항공사,True,28.41,15.13,-71.86,-51.39,-1.1,-3.72,327.657
티웨이홀딩스,004870,항공사,True,25.67,15.13,-70.05,-51.39,-1.05,-3.72,254.378
파미셀,005690,화학,True,5.28,9.18,15.62,4.6,180.44,52.9,22.801
팜스코,036580,식품,True,7.13,10.85,1.95,4.04,42.23,19.05,226.444
팬오션,028670,해운사,True,9.61,2.28,8.59,16.23,16.56,97.52,53.617
퍼스텍,010820,우주항공과 국방,True,-5.84,14.15,-2.76,-5.6,-11.98,21.56,567.614
퍼시스,016800,가구,True,9.58,27.33,9.7,4.89,9.22,21.8,8.541
페이퍼코리아,001020,종이와 목재,True,-14.29,-1.93,5.35,-3.3,-93.64,31.73,4714.430
평화산업,090080,자동차부품,True,2.6,1.38,-1.34,-1.59,-108.45,34.78,480.039
평화홀딩스,010770,자동차부품,True,-0.56,1.38,-1.62,-1.59,-7.58,34.78,305.427
포스코,005490,철강,True,6.64,4.43,4.01,0.84,23.24,39.86,65.413
포스코강판,058430,비철금속,True,4.73,3.09,1.46,-5.72,21,21.62,127.710
포스코인터내셔널,047050,무역회사와 판매업체,True,13.98,0.51,2.4,0.43,9.88,9.81,193.938
포스코케미칼,003670,화학,True,9.9,9.18,4.08,4.6,180.52,52.9,71.927
폴루스바이오팜,007630,화장품,True,-31.77,25.83,-39.37,-29.3,-5.1,62.6,154.355
풀무원,017810,식품,True,5.46,10.85,1.87,4.04,36.64,19.05,220.568
풍산,103140,비철금속,True,-4.7,3.09,1.44,-5.72,78.52,21.62,85.177
풍산홀딩스,005810,비철금속,True,-3.86,3.09,0.05,-5.72,24.57,21.62,29.946
필룩스,033180,전기제품,True,7.82,17.99,-6.32,2.76,-7.74,143.11,53.007
하나금융지주,086790,은행,True,3.76,8.33,9.47,12.84,4.21,5.11,
하나제약,293480,제약,True,10.13,11.49,18.65,-258.45,15.71,111.38,19.381
하나투어,039130,"호텔, 레스토랑, 레저",True,8.62,10.8,-143.41,-70.93,-7.42,-41.28,362.437
하이골드12호,172580,해운사,True,2.6,2.28,10.31,16.23,-62.42,97.52,23.956
하이골드3호,153360,해운사,True,-7.54,2.28,17.79,16.23,-4.64,97.52,32.594
하이스틸,071090,철강,True,12.88,4.43,-1.08,0.84,-9.44,39.86,83.549
하이트론씨스템즈,019490,통신장비,True,-5.51,16.58,-50.4,-6.07,-1.03,-127.97,225.079
하이트진로,000080,음료,True,2.49,1.64,9,1.96,30.64,171.37,216.577
하이트진로홀딩스,000140,음료,True,2.25,1.64,9.52,1.96,8.59,171.37,290.479
한국ANKOR유전,152550,-,True,,,,,,,
한국가스공사,036460,가스 유틸리티,True,5.78,2.74,2.3,2.23,-5.46,25.33,382.560
한국공항,005430,운송 인프라,True,3.83,5.31,-8.81,10.58,-7.29,-39.57,43.862
한국금융지주,071050,증권,True,26.4,12.58,4.97,6.64,6.5,7.64,
한국내화,010040,비철금속,True,-4.67,3.09,1.72,-5.72,85.2,21.62,48.967
한국단자공업,025540,자동차부품,True,2.63,1.38,5.43,-1.59,15.66,34.78,24.699
한국석유공업,004090,화학,True,6.42,9.18,2.63,4.6,-9.24,52.9,111.107
한국수출포장공업,002200,포장재,True,5.96,5.6,5.94,5.88,6.65,13.64,24.344
한국쉘석유,002960,석유와 가스,True,0.15,7.14,14.81,-10.86,14.65,-9.59,44.113
한국자산신탁,123890,부동산,True,17.83,15.65,62.31,45.89,4.69,15.26,
한국전력공사,015760,전기 유틸리티,True,-0.57,-0.87,2.51,8.12,156.38,63.29,186.832
한국전자홀딩스,006200,반도체와 반도체 장비,True,-3.41,11.5,-6.98,4.25,-3.32,16.95,60.939
한국조선해양,009540,조선,True,-12.03,-3.94,2.64,-8.11,341.34,-28.74,93.832
한국종합기술,023350,건설,True,3.17,8.53,0.29,0.98,-11.65,6.98,188.785
한국주강,025890,철강,True,11.03,4.43,-3.17,0.84,-1.71,39.86,50.587
한국주철관공업,000970,철강,True,4.12,4.43,2.56,0.84,19.2,39.86,30.885
한국철강,104700,철강,True,2.73,4.43,4.54,0.84,8.88,39.86,20.454
한국카본,017960,조선,True,2,-3.94,14.07,-8.11,12.1,-28.74,27.140
한국콜마,161890,화장품,True,32.16,25.83,7.29,-29.3,48.57,62.6,183.098
한국콜마홀딩스,024720,화장품,True,21.55,25.83,17.06,-29.3,11.08,62.6,81.373
한국타이어앤테크놀로지,161390,자동차부품,True,1.3,1.38,7.35,-1.59,14.94,34.78,41.426
한국테크놀로지그룹,000240,자동차부품,True,7.1,1.38,15.43,-1.59,11.55,34.78,6.764
한국토지신탁,034830,부동산,True,12.83,15.65,36.17,45.89,5.8,15.26,
한국특수형강,007280,철강,True,16.51,4.43,0.09,0.84,-10.95,39.86,364.756
한국패러랠,168490,-,True,,,,,,,
한국프랜지공업,010100,자동차부품,True,-5.67,1.38,1.02,-1.59,8.8,34.78,185.921
한국항공우주,047810,우주항공과 국방,True,1.82,14.15,7.98,-5.6,15.56,21.56,269.108
한국화장품,123690,화장품,True,-6.55,25.83,-22.14,-29.3,-29.94,62.6,131.031
한국화장품제조,003350,화장품,True,5.6,25.83,-1.56,-29.3,-132.52,62.6,75.282
한농화성,011500,화학,True,-0.05,9.18,6.74,4.6,10.17,52.9,35.821
한독,002390,제약,True,6.09,11.49,6.4,-258.45,14.17,111.38,117.639
한라,014790,건설,True,-10.69,8.53,7.38,0.98,3.87,6.98,508.338
한라홀딩스,060980,자동차부품,True,-1.86,1.38,3.74,-1.59,24.9,34.78,98.670
한미글로벌,053690,건설,True,20.35,8.53,6.03,0.98,14.67,6.98,64.024
한미반도체,042700,반도체와 반도체 장비,True,-10.21,11.5,25.4,4.25,14.44,16.95,17.191
한미사이언스,008930,제약,True,7.07,11.49,2.17,-258.45,128.53,111.38,41.064
한미약품,128940,제약,True,8.05,11.49,8.4,-258.45,103.49,111.38,132.737
한샘,009240,가구,True,-4.25,27.33,3.64,4.89,43.79,21.8,96.093
한섬,020000,"섬유, 의류, 신발, 호화품",True,20.95,5.16,8.3,-0.15,9.18,26.53,
한성기업,003680,식품,True,-5.56,10.85,-2.09,4.04,-4.04,19.05,368.384
한세실업,105630,"섬유, 의류, 신발, 호화품",True,7.5,5.16,1.74,-0.15,-41.49,26.53,159.219
한세엠케이,069640,"섬유, 의류, 신발, 호화품",True,-1.16,5.16,-9.84,-0.15,-0.83,26.53,83.641
한세예스24홀딩스,016450,"섬유, 의류, 신발, 호화품",True,7.35,5.16,2.51,-0.15,49.03,26.53,190.554
한솔로지스틱스,009180,항공화물운송과 물류,True,6.2,4.94,2.69,1.35,7.06,17.2,254.381
한솔제지,213500,종이와 목재,True,7.71,-1.93,7.74,-3.3,4.33,31.73,184.815
한솔케미칼,014680,화학,True,8.47,9.18,23.3,4.6,15.88,52.9,80.422
한솔테크닉스,004710,디스플레이장비 및 부품,True,6.38,0.55,2.97,-4.96,25.13,84.62,89.169
한솔피엔에스,010420,종이와 목재,True,-0.04,-1.93,1.64,-3.3,9.45,31.73,151.869
한솔홀딩스,004150,종이와 목재,True,-11.16,-1.93,0.73,-3.3,7.72,31.73,46.095
한솔홈데코,025750,건축자재,True,3.89,4.02,0.22,0,-60.16,39.63,91.838
한신공영,004960,건설,True,-2.88,8.53,8.39,0.98,2.34,6.98,221.329
한신기계공업,011700,기계,True,-5.61,8.28,5.83,-8.39,21,-24.97,16.036
한양증권,001750,증권,True,18.33,12.58,10.04,6.64,4.05,7.64,
한온시스템,018880,자동차부품,True,7.85,1.38,3.44,-1.59,59.83,34.78,202.989
한올바이오파마,009420,제약,True,9.38,11.49,9.04,-258.45,91.95,111.38,36.296
한익스프레스,014130,항공화물운송과 물류,True,7.26,4.94,1.83,1.35,12.66,17.2,269.520
한일시멘트,300720,건축자재,True,,,,,,,55.972
한일철강,002220,철강,True,15.85,4.43,-4.16,0.84,-4.26,39.86,114.263
한일현대시멘트,006390,건축자재,True,0.46,4.02,12.58,0,8.56,39.63,173.786
한일홀딩스,003300,건축자재,True,4.65,4.02,5.35,0,21.25,39.63,89.391
한전KPS,051600,전기 유틸리티,True,0.65,-0.87,13.47,8.12,10.93,63.29,27.836
한전기술,052690,전기 유틸리티,True,-3.93,-0.87,8.77,8.12,27.45,63.29,49.368
한전산업,130660,전기 유틸리티,True,0.38,-0.87,7.71,8.12,9.63,63.29,120.133
한진,002320,항공화물운송과 물류,True,5.33,4.94,4.87,1.35,60.95,17.2,236.690
한진중공업,097230,조선,True,-16.65,-3.94,6.82,-8.11,3.37,-28.74,908.279
한진중공업홀딩스,003480,가스 유틸리티,True,-3.22,2.74,6.15,2.23,56.09,25.33,416.170
한진칼,180640,항공사,True,6.69,15.13,-46.67,-51.39,-11.61,-3.72,89.604
한창,005110,부동산,True,11.01,15.65,-36.46,45.89,-5.91,15.26,243.497
한창제지,009460,포장재,True,-2.3,5.6,8.72,5.88,13.68,13.64,100.088
한화,000880,생명보험,True,2.28,-0.22,3.24,2.72,8.36,12.99,898.064
한화생명,088350,생명보험,True,6.52,-0.22,0.59,2.72,11.11,12.99,
한화손해보험,000370,손해보험,True,9.03,7.44,-0.38,2.54,-22.74,8.44,
한화솔루션,009830,화학,True,0.87,9.18,6.12,4.6,-86.77,52.9,170.092
한화시스템,272210,우주항공과 국방,True,21.57,14.15,6.81,-5.6,16.07,21.56,148.776
한화에어로스페이스,012450,우주항공과 국방,True,14.37,14.15,3.19,-5.6,12.74,21.56,204.985
한화투자증권,003530,증권,True,-0.16,12.58,5.02,6.64,12.75,7.64,
해성디에스,195870,반도체와 반도체 장비,True,11.36,11.5,10.41,4.25,9.89,16.95,56.608
해태제과식품,101530,식품,True,-4.52,10.85,3.47,4.04,-12.97,19.05,210.037
핸즈코퍼레이션,143210,자동차부품,True,-3.01,1.38,2.17,-1.59,30.75,34.78,162.460
현대건설,000720,건설,True,-2.82,8.53,4.25,0.98,11.44,6.98,109.145
현대건설기계,267270,기계,True,,,,,,,102.141
현대그린푸드,005440,식품과 기본식료품 소매,True,7.4,11.17,2.51,4.51,19.67,99.29,40.172
현대글로비스,086280,항공화물운송과 물류,True,6,4.94,4.32,1.35,10.51,17.2,116.898
현대로템,064350,기계,True,-6.25,8.28,-8.47,-8.39,-6.12,-24.97,362.609
현대리바트,079430,가구,True,18.93,27.33,2.49,4.89,12.3,21.8,64.386
현대모비스,012330,자동차부품,True,-0.19,1.38,4.75,-1.59,13.41,34.78,43.803
현대미포조선,010620,조선,True,-4.58,-3.94,2.68,-8.11,30.42,-28.74,43.614
현대백화점,069960,백화점과 일반상점,True,6.28,5,8.39,-12.81,13.28,-27.53,68.998
현대비앤지스틸,004560,비철금속,True,3.53,3.09,4.8,-5.72,7.39,21.62,51.037
현대약품,004310,제약,True,3.98,11.49,2.55,-258.45,102.64,111.38,66.103
현대에너지솔루션,322000,에너지 장비 및 서비스,True,263.93,33.72,4.95,-35.36,19.03,-71.27,51.375
현대에이치씨엔,126560,방송과엔터테인먼트,True,0.09,14.98,13.48,-19.87,10.39,-34.19,9.711
현대엘리베이터,017800,기계,True,2.11,8.28,8.04,-8.39,18.52,-24.97,168.697
현대오토에버,307950,IT서비스,True,5.57,9.32,5.3,-0.65,29.6,23.68,99.354
현대위아,011210,자동차부품,True,-1.22,1.38,1.29,-1.59,20.15,34.78,119.106
현대일렉트릭,267260,전기장비,True,,,,,,,222.254
현대자동차,005380,자동차,True,4.13,4.2,2.29,-5.63,33.37,42.33,154.711
현대제철,004020,철강,True,7.11,4.43,-0.67,0.84,-16.46,39.86,99.413
현대종합상사,011760,무역회사와 판매업체,True,6.21,0.51,1.03,0.43,8.05,9.81,322.699
현대중공업지주,267250,석유와 가스,True,,,,,,,116.375
현대차증권,001500,증권,True,8.33,12.58,15.42,6.64,4.96,7.64,
현대코퍼레이션홀딩스,227840,식품과 기본식료품 소매,True,6.19,11.17,6.45,4.51,7.23,99.29,34.515
현대해상,001450,손해보험,True,3.15,7.44,2.33,2.54,7.11,8.44,
현대홈쇼핑,057050,인터넷과 카탈로그 소매,True,31.55,9.76,5.49,25.67,11.52,21.19,44.336
형지엘리트,093240,"섬유, 의류, 신발, 호화품",True,-5.3,5.16,0.95,-0.15,114.23,26.53,90.569
혜인,003010,기계,True,7.33,8.28,3.26,-8.39,3784.27,-24.97,128.521
호전실업,111110,"섬유, 의류, 신발, 호화품",True,-0.77,5.16,0.45,-0.15,-4.5,26.53,134.818
호텔신라,008770,"호텔, 레스토랑, 레저",True,15.45,10.8,-4.11,-70.93,-24.86,-41.28,283.591
화성산업,002460,건설,True,-2.98,8.53,9.52,0.98,5.68,6.98,65.129
화승알앤에이,013520,자동차부품,True,-1.34,1.38,1.11,-1.59,-14.26,34.78,361.965
화승엔터프라이즈,241590,"섬유, 의류, 신발, 호화품",True,23.35,5.16,6.9,-0.15,16.15,26.53,166.385
화승인더스트리,006060,"섬유, 의류, 신발, 호화품",True,12.14,5.16,6.41,-0.15,10.68,26.53,180.248
화신,010690,자동차부품,True,-2.33,1.38,-3.95,-1.59,-1.56,34.78,169.713
화인베스틸,133820,철강,True,-6.16,4.43,-8.57,0.84,-6.91,39.86,128.772
화천기계,010660,기계,True,-6.52,8.28,-7.06,-8.39,-9.19,-24.97,27.066
화천기공,000850,기계,True,5.71,8.28,-0.93,-8.39,28.51,-24.97,26.389
환인제약,016580,제약,True,4.03,11.49,14.22,-258.45,15.03,111.38,11.085
황금에스티,032560,비철금속,True,2.63,3.09,7.1,-5.72,4.86,21.62,35.680
효성,004800,복합기업,True,-34.36,3.68,3.74,5.86,62.71,22.99,140.829
효성 ITX,094280,상업서비스와 공급품,True,4.49,13.39,3.42,8.48,21.55,25.07,208.042
효성중공업,298040,전기장비,True,,,,,,,303.921
효성첨단소재,298050,화학,True,,,,,,,524.345
효성티앤씨,298020,"섬유, 의류, 신발, 호화품",True,,,,,,,453.098
효성화학,298000,화학,True,,,,,,,353.811
후성,093370,화학,True,9.03,9.18,0.87,4.6,-665.96,52.9,117.708
휠라홀딩스,081660,"섬유, 의류, 신발, 호화품",True,52.8,5.16,11.07,-0.15,14.5,26.53,109.349
휴니드테크놀러지스,005870,우주항공과 국방,True,2.85,14.15,-5.88,-5.6,-14.01,21.56,125.265
휴비스,079980,"섬유, 의류, 신발, 호화품",True,-3.44,5.16,3.43,-0.15,10.5,26.53,121.437
휴스틸,005010,철강,True,13.84,4.43,-6.06,0.84,-2.98,39.86,46.031
휴켐스,069260,화학,True,3.32,9.18,13.05,4.6,21.04,52.9,36.063
흥국화재,000540,손해보험,True,-0.52,7.44,0.5,2.54,7.79,8.44,
흥아해운,003280,해운사,True,-50.29,2.28,-6.01,16.23,-1.11,97.52,1293.827
3S,060310,기계,False,-5.16,8.28,-4.88,-8.39,-35.35,-24.97,55.155
APS홀딩스,054620,디스플레이장비 및 부품,False,-1.56,0.55,-43.91,-4.96,-35.57,84.62,38.607
AP시스템,265520,디스플레이장비 및 부품,False,,,,,,,268.871
AP위성,211270,핸드셋,False,22.41,3.39,8.65,-7.02,479.39,102.62,24.779
CJ ENM,035760,방송과엔터테인먼트,False,19.72,14.98,6.31,-19.87,50.99,-34.19,72.433
CJ프레시웨이,051500,식품과 기본식료품 소매,False,9.48,11.17,0.62,4.51,-10.44,99.29,308.691
CMG제약,058820,제약,False,21.15,11.49,3.59,-258.45,213.4,111.38,6.708
CNH,023460,기타금융,False,28.86,5.74,4.95,-81.86,16.34,6.79,323.819
CS,065770,통신장비,False,-12.8,16.58,-2.23,-6.07,-287.91,-127.97,24.950
CSA 코스믹,083660,화장품,False,23.07,25.83,-4.74,-29.3,-24.09,62.6,101.103
DB금융스팩7호,322780,창업투자,False,,,,,,,
DMS,068790,디스플레이장비 및 부품,False,-7.62,0.55,13.33,-4.96,13.19,84.62,82.231
DSC인베스트먼트,241520,창업투자,False,56.67,22.75,18.74,3.1,10.68,27.81,
EDGC,245620,생명과학 도구 및 서비스,False,244.03,19.79,-17.32,-2011.32,-44.66,48.37,101.625
EG,037370,무역회사와 판매업체,False,-22.92,0.51,-3.39,0.43,-48.77,9.81,129.981
EMW,079190,핸드셋,False,-10.73,3.39,-21.15,-7.02,-13.49,102.62,66.057
GH신소재,130500,자동차부품,False,6.87,1.38,-1.31,-1.59,120.86,34.78,87.036
GRT,900290,디스플레이장비 및 부품,False,12.89,0.55,19.49,-4.96,1.23,84.62,14.341
GST,083450,반도체와 반도체 장비,False,22.81,11.5,12.02,4.25,8.27,16.95,32.369
GS홈쇼핑,028150,인터넷과 카탈로그 소매,False,3.87,9.76,9.77,25.67,8.62,21.19,26.130
GV,045890,디스플레이장비 및 부품,False,-8.14,0.55,-47.33,-4.96,-1.44,84.62,231.459
HB테크놀러지,078150,디스플레이장비 및 부품,False,1.23,0.55,6.08,-4.96,9.8,84.62,54.403
HRS,036640,화학,False,5.7,9.18,13.33,4.6,9.81,52.9,23.093
IBKS제10호스팩,299170,창업투자,False,,,,,,,
IBKS제11호스팩,335890,창업투자,False,,,,,,,
IBKS제12호스팩,335870,창업투자,False,,,,,,,
IBKS제13호스팩,351340,창업투자,False,,,,,,,
IBKS제14호스팩,351320,창업투자,False,,,,,,,
ISC,095340,반도체와 반도체 장비,False,-2.17,11.5,14.32,4.25,18.78,16.95,16.835
ITX-AI,099520,전자장비와 기기,False,9.13,9.52,-10.21,0.39,-14,39.58,123.864
JTC,950170,백화점과 일반상점,False,1.61,5,-219.45,-12.81,-3.09,-27.53,47.564
JW신약,067290,제약,False,7.13,11.49,1.86,-258.45,-143.3,111.38,107.558
JYP Ent.,035900,방송과엔터테인먼트,False,28.27,14.98,32.23,-19.87,40.6,-34.19,28.020
KBI메탈,024840,전기장비,False,11.35,6.05,3.23,2.33,5.14,-73.59,135.152
KB오토시스,024120,자동차부품,False,-4.06,1.38,4.17,-1.59,15.71,34.78,40.360
KCC건설,021320,건설,False,13.59,8.53,3.89,0.98,5.38,6.98,175.257
KCI,036670,화학,False,16.27,9.18,22.1,4.6,8.84,52.9,20.279
KD,044180,건설,False,31.54,8.53,-160.29,0.98,-2.17,6.98,322.257
KG ETS,151860,복합 유틸리티,False,19.04,15.15,11.61,5.59,1.33,5.3,78.722
KG모빌리언스,046440,IT서비스,False,12.03,9.32,17.28,-0.65,24.55,23.68,89.796
KG이니시스,035600,IT서비스,False,25.99,9.32,10.23,-0.65,12.2,23.68,235.677
KH바텍,060720,핸드셋,False,-18.65,3.39,4.53,-7.02,-43.05,102.62,53.623
KMH,122450,방송과엔터테인먼트,False,18.41,14.98,19.8,-19.87,25.93,-34.19,51.767
KMH하이텍,052900,반도체와 반도체 장비,False,7.93,11.5,10.27,4.25,39.81,16.95,18.506
KNN,058400,방송과엔터테인먼트,False,4.78,14.98,7.05,-19.87,54.89,-34.19,7.053
KPX생명과학,114450,제약,False,-4.58,11.49,0.14,-258.45,593.74,111.38,19.114
KTH,036030,인터넷과 카탈로그 소매,False,17.49,9.76,3.57,25.67,-29.34,21.19,36.464
KT서브마린,060370,건설,False,-13.06,8.53,4.06,0.98,48.82,6.98,18.003
MP그룹,065150,"호텔, 레스토랑, 레저",False,-10.09,10.8,-8.83,-70.93,-79.25,-41.28,161.337
MP한강,219550,화장품,False,-1.29,25.83,-15.24,-29.3,-19.6,62.6,69.165
NEW,160550,방송과엔터테인먼트,False,5.87,14.98,-3.3,-19.87,-8.27,-34.19,157.109
NE능률,053290,교육서비스,False,16.53,7.93,-9.41,-8.99,-15.82,-24.02,60.591
NHN벅스,104200,방송과엔터테인먼트,False,5.13,14.98,3.6,-19.87,70.63,-34.19,42.112
NHN한국사이버결제,060250,IT서비스,False,19.97,9.32,6.62,-0.65,59.25,23.68,144.911
NICE평가정보,030190,상업서비스와 공급품,False,5.95,13.39,12.89,8.48,30.36,25.07,42.333
OQP,078590,자동차부품,False,18.21,1.38,2.42,-1.59,-4.78,34.78,191.071
PI첨단소재,178920,화학,False,13.48,9.18,19.87,4.6,30.15,52.9,56.382
PN풍년,024940,가정용 기기와 용품,False,-10.5,5.66,0.11,1.63,17.98,17.25,37.011
RFHIC,218410,통신장비,False,,,,,,,20.721
S&K폴리텍,091340,전자장비와 기기,False,74.67,9.52,3.57,0.39,6.22,39.58,177.864
SBI인베스트먼트,019550,창업투자,False,11.96,22.75,33.37,3.1,19.12,27.81,
SBI핀테크솔루션즈,950110,IT서비스,False,3.37,9.32,14.38,-0.65,22.75,23.68,696.607
SBS콘텐츠허브,046140,방송과엔터테인먼트,False,-14.32,14.98,1.51,-19.87,84.83,-34.19,26.951
SCI평가정보,036120,상업서비스와 공급품,False,14.22,13.39,15.73,8.48,26.2,25.07,32.044
SDN,099220,에너지 장비 및 서비스,False,21.55,33.72,2.51,-35.36,34.98,-71.27,78.167
SFA반도체,036540,반도체와 반도체 장비,False,11.12,11.5,6.59,4.25,41.23,16.95,109.354
SG,255220,건축자재,False,12.34,4.02,6.15,0,-51.63,39.63,214.066
SG&G,040610,자동차부품,False,-7.99,1.38,0.03,-1.59,-1.5,34.78,79.643
SGA,049470,소프트웨어,False,-9.32,9.35,-10.27,2.33,-2.73,165.38,162.957
